City_ID,City,Lat,Lon,Max Temp in °C,Humidity,Cloudiness,Wind Speed,Country,Date
125,luderitz,-26.6481,15.1594,12.360000000000014,63,0,3.61,NA,1726205905
126,lamesa,32.7376,-101.951,22.950000000000045,56,0,6.66,US,1726205906
127,wenling,28.3669,121.36,30.04000000000002,68,28,4.59,CN,1726205907
128,hawaiian paradise park,19.5933,-154.9731,23.83000000000004,93,0,0.0,US,1726205908
129,horta,38.5333,-28.6333,22.79000000000002,82,73,5.81,PT,1726205909
130,mokrous,51.2333,47.5167,21.010000000000048,34,52,7.24,RU,1726205911
131,port douglas,-16.4833,145.4667,24.52000000000004,69,5,5.89,AU,1726205912
132,windhoek,-22.5594,17.0832,21.350000000000023,17,6,2.24,NA,1726205913
133,koksovyy,48.1967,40.5989,23.450000000000045,29,100,7.96,RU,1726205914
134,mount isa,-20.7333,139.5,29.870000000000005,9,2,7.2,AU,1726205915
135,susuman,62.7833,148.1667,6.57000000000005,78,100,1.04,RU,1726205916
136,hamilton,39.1834,-84.5333,20.79000000000002,68,100,0.89,US,1726205917
137,brookings,44.3114,-96.7984,20.100000000000023,72,0,6.17,US,1726205919
138,merizo village,13.2658,144.6691,26.310000000000002,94,100,5.35,GU,1726205920
139,chirilagua,13.2203,-88.1386,23.560000000000002,97,48,0.81,SV,1726205921
140,lompoc,34.6391,-120.4579,14.180000000000007,86,100,3.09,US,1726205922
141,harstad,68.799,16.5293,13.420000000000016,76,55,7.15,NO,1726205923
142,ust-tsilma,65.441,52.1498,18.960000000000036,73,89,1.61,RU,1726205924
143,chachersk,52.9164,30.9179,17.180000000000007,62,90,4.52,BY,1726205926
144,marka,1.7159,44.7717,25.920000000000016,79,95,6.44,SO,1726205927
145,arraial do cabo,-22.9661,-42.0278,22.470000000000027,84,0,11.98,BR,1726205928
146,fisterra,42.9049,-9.2629,16.28000000000003,68,55,8.07,ES,1726205929
147,paragominas,-2.9667,-47.4833,21.390000000000043,90,24,1.56,BR,1726205930
148,esposende,41.5361,-8.782,14.850000000000023,90,1,2.88,PT,1726205931
149,urzhar,47.093,81.6294,13.970000000000027,36,0,3.02,KZ,1726205933
150,haiku-pauwela,20.9219,-156.3051,26.25,71,0,9.83,US,1726205934
151,fernandopolis,-20.2839,-50.2464,22.49000000000001,26,0,3.73,BR,1726205935
152,gazipasa,36.2694,32.3179,24.05000000000001,78,20,2.57,TR,1726205936
153,luganville,-15.5333,167.1667,26.150000000000034,79,85,3.16,VU,1726205937
154,santo antonio,-6.3106,-35.4789,19.510000000000048,95,36,2.91,BR,1726205938
155,vernon,50.2581,-119.2691,14.860000000000014,71,15,4.12,CA,1726205939
156,punta arenas,-53.15,-70.9167,1.0600000000000023,93,75,13.89,CL,1726205744
157,karlshamn,56.1706,14.8619,6.270000000000039,82,100,2.18,SE,1726205942
158,alto barinas,8.5931,-70.2261,23.710000000000036,89,99,0.51,VE,1726205778
159,pacocha,-17.5833,-71.3333,14.879999999999995,85,74,1.77,PE,1726205944
160,chlumec nad cidlinou,50.1544,15.4603,8.340000000000032,97,100,5.69,CZ,1726205945
161,mahina,-17.5065,-149.489,26.870000000000005,65,20,6.69,PF,1726205946
162,egilsstadir,65.2653,-14.3948,3.9500000000000455,60,75,4.63,IS,1726205949
163,kingscliff,-28.2667,153.5667,19.970000000000027,77,100,8.23,AU,1726205950
164,georgetown,5.4112,100.3354,28.960000000000036,82,20,3.13,MY,1726205951
165,miandrivazo,-19.5167,45.4667,31.439999999999998,36,4,1.25,MG,1726205952
166,wailua homesteads,22.0669,-159.378,25.439999999999998,82,20,4.63,US,1726205954
167,tofol,5.3248,163.0078,29.110000000000014,69,67,3.71,FM,1726205955
168,goz beida,13.95,20.55,25.370000000000005,72,100,1.7,TD,1726205956
169,talnakh,69.4865,88.3972,7.8799999999999955,50,34,4.98,RU,1726205957
170,chake chake,-5.2459,39.7666,27.30000000000001,65,57,5.03,TZ,1726205958
171,malanje,-9.5402,16.341,20.590000000000032,72,25,2.05,AO,1726205959
172,uturoa,-16.7333,-151.4333,25.900000000000034,84,24,8.51,PF,1726205961
